"state","placefp","county","tract","block","stab","cntyname","placenm","pop10","afact"
"State code","Place code","County code","Tract","Block","State abbreviation","County name","Place name","Population (2010)","placefp to block allocation factor"
"55","78600","55025","0114.02","1000","WI","Dane WI","Sun Prairie city, WI",56,0.0019 
"55","78600","55025","0114.02","1001","WI","Dane WI","Sun Prairie city, WI",27,0.0009 
"55","78600","55025","0114.02","3099","WI","Dane WI","Sun Prairie city, WI",24,0.0008 
"55","78600","55025","0114.02","3104","WI","Dane WI","Sun Prairie city, WI",79,0.0027 
"55","78600","55025","0114.02","3105","WI","Dane WI","Sun Prairie city, WI",15,0.0005 
"55","78600","55025","0114.02","3107","WI","Dane WI","Sun Prairie city, WI",65,0.0022 
"55","78600","55025","0114.02","3108","WI","Dane WI","Sun Prairie city, WI",75,0.0026 
"55","78600","55025","0114.02","3109","WI","Dane WI","Sun Prairie city, WI",107,0.0036 
"55","78600","55025","0114.02","3110","WI","Dane WI","Sun Prairie city, WI",50,0.0017 
"55","78600","55025","0114.02","3111","WI","Dane WI","Sun Prairie city, WI",101,0.0034 
"55","78600","55025","0114.02","3112","WI","Dane WI","Sun Prairie city, WI",57,0.0019 
"55","78600","55025","0114.02","3113","WI","Dane WI","Sun Prairie city, WI",102,0.0035 
"55","78600","55025","0114.02","3114","WI","Dane WI","Sun Prairie city, WI",199,0.0068 
"55","78600","55025","0114.02","3115","WI","Dane WI","Sun Prairie city, WI",156,0.0053 
"55","78600","55025","0114.02","3117","WI","Dane WI","Sun Prairie city, WI",44,0.0015 
"55","78600","55025","0114.02","3119","WI","Dane WI","Sun Prairie city, WI",18,0.0006 
"55","78600","55025","0114.02","3120","WI","Dane WI","Sun Prairie city, WI",65,0.0022 
"55","78600","55025","0114.02","3121","WI","Dane WI","Sun Prairie city, WI",139,0.0047 
"55","78600","55025","0114.02","3123","WI","Dane WI","Sun Prairie city, WI",151,0.0051 
"55","78600","55025","0114.02","3125","WI","Dane WI","Sun Prairie city, WI",3,0.0001 
"55","78600","55025","0114.02","3126","WI","Dane WI","Sun Prairie city, WI",84,0.0029 
"55","78600","55025","0114.02","3134","WI","Dane WI","Sun Prairie city, WI",155,0.0053 
"55","78600","55025","0114.02","3135","WI","Dane WI","Sun Prairie city, WI",63,0.0021 
"55","78600","55025","0114.02","3136","WI","Dane WI","Sun Prairie city, WI",53,0.0018 
"55","78600","55025","0114.02","3137","WI","Dane WI","Sun Prairie city, WI",68,0.0023 
"55","78600","55025","0114.02","3138","WI","Dane WI","Sun Prairie city, WI",74,0.0025 
"55","78600","55025","0114.02","3139","WI","Dane WI","Sun Prairie city, WI",70,0.0024 
"55","78600","55025","0114.02","3140","WI","Dane WI","Sun Prairie city, WI",44,0.0015 
"55","78600","55025","0114.02","3141","WI","Dane WI","Sun Prairie city, WI",85,0.0029 
"55","78600","55025","0114.02","3146","WI","Dane WI","Sun Prairie city, WI",96,0.0033 
"55","78600","55025","0114.02","3151","WI","Dane WI","Sun Prairie city, WI",76,0.0026 
"55","78600","55025","0114.02","3152","WI","Dane WI","Sun Prairie city, WI",69,0.0023 
"55","78600","55025","0114.02","3153","WI","Dane WI","Sun Prairie city, WI",74,0.0025 
"55","78600","55025","0114.02","3154","WI","Dane WI","Sun Prairie city, WI",69,0.0023 
"55","78600","55025","0114.02","3155","WI","Dane WI","Sun Prairie city, WI",80,0.0027 
"55","78600","55025","0114.02","3156","WI","Dane WI","Sun Prairie city, WI",69,0.0023 
"55","78600","55025","0114.02","3157","WI","Dane WI","Sun Prairie city, WI",147,0.005 
"55","78600","55025","0114.02","3158","WI","Dane WI","Sun Prairie city, WI",39,0.0013 
"55","78600","55025","0114.02","3159","WI","Dane WI","Sun Prairie city, WI",22,0.0007 
"55","78600","55025","0114.02","3160","WI","Dane WI","Sun Prairie city, WI",197,0.0067 
"55","78600","55025","0114.02","3161","WI","Dane WI","Sun Prairie city, WI",25,0.0009 
"55","78600","55025","0114.02","3162","WI","Dane WI","Sun Prairie city, WI",55,0.0019 
"55","78600","55025","0114.02","3171","WI","Dane WI","Sun Prairie city, WI",241,0.0082 
"55","78600","55025","0114.02","3172","WI","Dane WI","Sun Prairie city, WI",7,0.0002 
"55","78600","55025","0114.02","3173","WI","Dane WI","Sun Prairie city, WI",56,0.0019 
"55","78600","55025","0114.02","3176","WI","Dane WI","Sun Prairie city, WI",8,0.0003 
"55","78600","55025","0114.02","3182","WI","Dane WI","Sun Prairie city, WI",11,0.0004 
"55","78600","55025","0114.02","3183","WI","Dane WI","Sun Prairie city, WI",82,0.0028 
"55","78600","55025","0114.02","3184","WI","Dane WI","Sun Prairie city, WI",5,0.0002 
"55","78600","55025","0114.02","3186","WI","Dane WI","Sun Prairie city, WI",14,0.0005 
"55","78600","55025","0114.02","3187","WI","Dane WI","Sun Prairie city, WI",43,0.0015 
"55","78600","55025","0114.02","3188","WI","Dane WI","Sun Prairie city, WI",59,0.002 
"55","78600","55025","0114.02","3189","WI","Dane WI","Sun Prairie city, WI",30,0.001 
"55","78600","55025","0114.02","3190","WI","Dane WI","Sun Prairie city, WI",79,0.0027 
"55","78600","55025","0114.02","3191","WI","Dane WI","Sun Prairie city, WI",181,0.0062 
"55","78600","55025","0114.02","3194","WI","Dane WI","Sun Prairie city, WI",3,0.0001 
"55","78600","55025","0114.02","3202","WI","Dane WI","Sun Prairie city, WI",22,0.0007 
"55","78600","55025","0114.02","3207","WI","Dane WI","Sun Prairie city, WI",4,0.0001 
"55","78600","55025","0114.02","3209","WI","Dane WI","Sun Prairie city, WI",2,0.0001 
"55","78600","55025","0115.03","1031","WI","Dane WI","Sun Prairie city, WI",50,0.0017 
"55","78600","55025","0115.03","1032","WI","Dane WI","Sun Prairie city, WI",28,0.001 
"55","78600","55025","0115.03","1033","WI","Dane WI","Sun Prairie city, WI",113,0.0038 
"55","78600","55025","0115.03","1034","WI","Dane WI","Sun Prairie city, WI",13,0.0004 
"55","78600","55025","0115.03","1035","WI","Dane WI","Sun Prairie city, WI",22,0.0007 
"55","78600","55025","0115.03","1038","WI","Dane WI","Sun Prairie city, WI",68,0.0023 
"55","78600","55025","0115.03","1039","WI","Dane WI","Sun Prairie city, WI",54,0.0018 
"55","78600","55025","0115.03","1040","WI","Dane WI","Sun Prairie city, WI",64,0.0022 
"55","78600","55025","0115.03","1041","WI","Dane WI","Sun Prairie city, WI",48,0.0016 
"55","78600","55025","0115.03","1042","WI","Dane WI","Sun Prairie city, WI",90,0.0031 
"55","78600","55025","0115.03","1043","WI","Dane WI","Sun Prairie city, WI",5,0.0002 
"55","78600","55025","0115.03","1044","WI","Dane WI","Sun Prairie city, WI",6,0.0002 
"55","78600","55025","0115.03","1045","WI","Dane WI","Sun Prairie city, WI",83,0.0028 
"55","78600","55025","0115.03","1046","WI","Dane WI","Sun Prairie city, WI",56,0.0019 
"55","78600","55025","0115.03","1047","WI","Dane WI","Sun Prairie city, WI",80,0.0027 
"55","78600","55025","0115.03","1048","WI","Dane WI","Sun Prairie city, WI",104,0.0035 
"55","78600","55025","0115.03","1049","WI","Dane WI","Sun Prairie city, WI",323,0.011 
"55","78600","55025","0115.03","1051","WI","Dane WI","Sun Prairie city, WI",65,0.0022 
"55","78600","55025","0115.03","1052","WI","Dane WI","Sun Prairie city, WI",79,0.0027 
"55","78600","55025","0115.03","1053","WI","Dane WI","Sun Prairie city, WI",40,0.0014 
"55","78600","55025","0115.03","1054","WI","Dane WI","Sun Prairie city, WI",95,0.0032 
"55","78600","55025","0115.03","1056","WI","Dane WI","Sun Prairie city, WI",38,0.0013 
"55","78600","55025","0115.03","1057","WI","Dane WI","Sun Prairie city, WI",232,0.0079 
"55","78600","55025","0115.03","1058","WI","Dane WI","Sun Prairie city, WI",18,0.0006 
"55","78600","55025","0115.03","1059","WI","Dane WI","Sun Prairie city, WI",32,0.0011 
"55","78600","55025","0115.03","1060","WI","Dane WI","Sun Prairie city, WI",1,0 
"55","78600","55025","0115.03","2002","WI","Dane WI","Sun Prairie city, WI",1,0 
"55","78600","55025","0115.03","2004","WI","Dane WI","Sun Prairie city, WI",109,0.0037 
"55","78600","55025","0115.03","2005","WI","Dane WI","Sun Prairie city, WI",159,0.0054 
"55","78600","55025","0115.03","2006","WI","Dane WI","Sun Prairie city, WI",60,0.002 
"55","78600","55025","0115.03","2007","WI","Dane WI","Sun Prairie city, WI",15,0.0005 
"55","78600","55025","0115.03","2008","WI","Dane WI","Sun Prairie city, WI",6,0.0002 
"55","78600","55025","0115.03","2009","WI","Dane WI","Sun Prairie city, WI",162,0.0055 
"55","78600","55025","0115.03","2011","WI","Dane WI","Sun Prairie city, WI",96,0.0033 
"55","78600","55025","0115.03","2012","WI","Dane WI","Sun Prairie city, WI",46,0.0016 
"55","78600","55025","0115.03","2013","WI","Dane WI","Sun Prairie city, WI",26,0.0009 
"55","78600","55025","0115.03","2014","WI","Dane WI","Sun Prairie city, WI",43,0.0015 
"55","78600","55025","0115.03","2015","WI","Dane WI","Sun Prairie city, WI",44,0.0015 
"55","78600","55025","0115.03","2016","WI","Dane WI","Sun Prairie city, WI",46,0.0016 
"55","78600","55025","0115.03","2017","WI","Dane WI","Sun Prairie city, WI",48,0.0016 
"55","78600","55025","0115.03","2018","WI","Dane WI","Sun Prairie city, WI",29,0.001 
"55","78600","55025","0115.03","2019","WI","Dane WI","Sun Prairie city, WI",112,0.0038 
"55","78600","55025","0115.03","2020","WI","Dane WI","Sun Prairie city, WI",2,0.0001 
"55","78600","55025","0115.03","2021","WI","Dane WI","Sun Prairie city, WI",18,0.0006 
"55","78600","55025","0115.03","2023","WI","Dane WI","Sun Prairie city, WI",113,0.0038 
"55","78600","55025","0115.03","2024","WI","Dane WI","Sun Prairie city, WI",33,0.0011 
"55","78600","55025","0115.03","2025","WI","Dane WI","Sun Prairie city, WI",19,0.0006 
"55","78600","55025","0115.03","2026","WI","Dane WI","Sun Prairie city, WI",5,0.0002 
"55","78600","55025","0115.03","2027","WI","Dane WI","Sun Prairie city, WI",60,0.002 
"55","78600","55025","0115.03","2028","WI","Dane WI","Sun Prairie city, WI",115,0.0039 
"55","78600","55025","0115.03","2029","WI","Dane WI","Sun Prairie city, WI",70,0.0024 
"55","78600","55025","0115.03","2030","WI","Dane WI","Sun Prairie city, WI",33,0.0011 
"55","78600","55025","0115.03","2031","WI","Dane WI","Sun Prairie city, WI",28,0.001 
"55","78600","55025","0115.03","2032","WI","Dane WI","Sun Prairie city, WI",67,0.0023 
"55","78600","55025","0115.03","2034","WI","Dane WI","Sun Prairie city, WI",98,0.0033 
"55","78600","55025","0115.03","2035","WI","Dane WI","Sun Prairie city, WI",69,0.0023 
"55","78600","55025","0115.03","2036","WI","Dane WI","Sun Prairie city, WI",46,0.0016 
"55","78600","55025","0115.03","2037","WI","Dane WI","Sun Prairie city, WI",64,0.0022 
"55","78600","55025","0115.03","2038","WI","Dane WI","Sun Prairie city, WI",57,0.0019 
"55","78600","55025","0115.03","2039","WI","Dane WI","Sun Prairie city, WI",50,0.0017 
"55","78600","55025","0115.03","2040","WI","Dane WI","Sun Prairie city, WI",116,0.004 
"55","78600","55025","0115.03","2041","WI","Dane WI","Sun Prairie city, WI",46,0.0016 
"55","78600","55025","0115.03","2042","WI","Dane WI","Sun Prairie city, WI",14,0.0005 
"55","78600","55025","0115.03","2043","WI","Dane WI","Sun Prairie city, WI",17,0.0006 
"55","78600","55025","0115.03","2044","WI","Dane WI","Sun Prairie city, WI",41,0.0014 
"55","78600","55025","0115.03","2045","WI","Dane WI","Sun Prairie city, WI",34,0.0012 
"55","78600","55025","0115.03","2046","WI","Dane WI","Sun Prairie city, WI",101,0.0034 
"55","78600","55025","0115.03","2047","WI","Dane WI","Sun Prairie city, WI",188,0.0064 
"55","78600","55025","0115.03","2048","WI","Dane WI","Sun Prairie city, WI",41,0.0014 
"55","78600","55025","0115.03","2049","WI","Dane WI","Sun Prairie city, WI",54,0.0018 
"55","78600","55025","0115.03","2050","WI","Dane WI","Sun Prairie city, WI",94,0.0032 
"55","78600","55025","0115.03","2051","WI","Dane WI","Sun Prairie city, WI",47,0.0016 
"55","78600","55025","0115.03","2052","WI","Dane WI","Sun Prairie city, WI",75,0.0026 
"55","78600","55025","0115.03","2053","WI","Dane WI","Sun Prairie city, WI",156,0.0053 
"55","78600","55025","0115.03","2054","WI","Dane WI","Sun Prairie city, WI",100,0.0034 
"55","78600","55025","0115.03","2055","WI","Dane WI","Sun Prairie city, WI",107,0.0036 
"55","78600","55025","0115.03","2056","WI","Dane WI","Sun Prairie city, WI",55,0.0019 
"55","78600","55025","0115.03","2057","WI","Dane WI","Sun Prairie city, WI",121,0.0041 
"55","78600","55025","0115.03","2058","WI","Dane WI","Sun Prairie city, WI",74,0.0025 
"55","78600","55025","0115.03","2059","WI","Dane WI","Sun Prairie city, WI",24,0.0008 
"55","78600","55025","0115.03","2060","WI","Dane WI","Sun Prairie city, WI",13,0.0004 
"55","78600","55025","0115.03","2061","WI","Dane WI","Sun Prairie city, WI",159,0.0054 
"55","78600","55025","0115.03","2062","WI","Dane WI","Sun Prairie city, WI",86,0.0029 
"55","78600","55025","0115.03","2063","WI","Dane WI","Sun Prairie city, WI",16,0.0005 
"55","78600","55025","0115.03","2064","WI","Dane WI","Sun Prairie city, WI",47,0.0016 
"55","78600","55025","0115.03","2065","WI","Dane WI","Sun Prairie city, WI",105,0.0036 
"55","78600","55025","0115.03","2066","WI","Dane WI","Sun Prairie city, WI",66,0.0022 
"55","78600","55025","0115.03","2067","WI","Dane WI","Sun Prairie city, WI",32,0.0011 
"55","78600","55025","0115.03","2068","WI","Dane WI","Sun Prairie city, WI",60,0.002 
"55","78600","55025","0115.03","2070","WI","Dane WI","Sun Prairie city, WI",7,0.0002 
"55","78600","55025","0115.03","2071","WI","Dane WI","Sun Prairie city, WI",21,0.0007 
"55","78600","55025","0115.03","2072","WI","Dane WI","Sun Prairie city, WI",114,0.0039 
"55","78600","55025","0115.03","2073","WI","Dane WI","Sun Prairie city, WI",62,0.0021 
"55","78600","55025","0115.03","2074","WI","Dane WI","Sun Prairie city, WI",53,0.0018 
"55","78600","55025","0115.03","2075","WI","Dane WI","Sun Prairie city, WI",67,0.0023 
"55","78600","55025","0115.03","2076","WI","Dane WI","Sun Prairie city, WI",49,0.0017 
"55","78600","55025","0115.03","2077","WI","Dane WI","Sun Prairie city, WI",34,0.0012 
"55","78600","55025","0115.03","2078","WI","Dane WI","Sun Prairie city, WI",41,0.0014 
"55","78600","55025","0115.03","2079","WI","Dane WI","Sun Prairie city, WI",93,0.0032 
"55","78600","55025","0115.03","2080","WI","Dane WI","Sun Prairie city, WI",37,0.0013 
"55","78600","55025","0115.03","2081","WI","Dane WI","Sun Prairie city, WI",117,0.004 
"55","78600","55025","0115.04","1000","WI","Dane WI","Sun Prairie city, WI",210,0.0072 
"55","78600","55025","0115.04","1001","WI","Dane WI","Sun Prairie city, WI",61,0.0021 
"55","78600","55025","0115.04","1003","WI","Dane WI","Sun Prairie city, WI",53,0.0018 
"55","78600","55025","0115.04","1005","WI","Dane WI","Sun Prairie city, WI",45,0.0015 
"55","78600","55025","0115.04","1006","WI","Dane WI","Sun Prairie city, WI",70,0.0024 
"55","78600","55025","0115.04","1007","WI","Dane WI","Sun Prairie city, WI",66,0.0022 
"55","78600","55025","0115.04","1008","WI","Dane WI","Sun Prairie city, WI",74,0.0025 
"55","78600","55025","0115.04","1009","WI","Dane WI","Sun Prairie city, WI",198,0.0067 
"55","78600","55025","0115.04","1010","WI","Dane WI","Sun Prairie city, WI",101,0.0034 
"55","78600","55025","0115.04","1011","WI","Dane WI","Sun Prairie city, WI",33,0.0011 
"55","78600","55025","0115.04","1012","WI","Dane WI","Sun Prairie city, WI",112,0.0038 
"55","78600","55025","0115.04","1013","WI","Dane WI","Sun Prairie city, WI",36,0.0012 
"55","78600","55025","0115.04","1014","WI","Dane WI","Sun Prairie city, WI",77,0.0026 
"55","78600","55025","0115.04","1015","WI","Dane WI","Sun Prairie city, WI",69,0.0023 
"55","78600","55025","0115.04","1016","WI","Dane WI","Sun Prairie city, WI",141,0.0048 
"55","78600","55025","0115.04","1019","WI","Dane WI","Sun Prairie city, WI",29,0.001 
"55","78600","55025","0115.04","1023","WI","Dane WI","Sun Prairie city, WI",30,0.001 
"55","78600","55025","0115.04","1024","WI","Dane WI","Sun Prairie city, WI",83,0.0028 
"55","78600","55025","0115.04","1027","WI","Dane WI","Sun Prairie city, WI",43,0.0015 
"55","78600","55025","0115.04","1028","WI","Dane WI","Sun Prairie city, WI",364,0.0124 
"55","78600","55025","0115.04","1029","WI","Dane WI","Sun Prairie city, WI",71,0.0024 
"55","78600","55025","0115.04","1030","WI","Dane WI","Sun Prairie city, WI",37,0.0013 
"55","78600","55025","0115.04","1031","WI","Dane WI","Sun Prairie city, WI",55,0.0019 
"55","78600","55025","0115.04","2002","WI","Dane WI","Sun Prairie city, WI",4,0.0001 
"55","78600","55025","0115.04","2007","WI","Dane WI","Sun Prairie city, WI",103,0.0035 
"55","78600","55025","0115.04","2008","WI","Dane WI","Sun Prairie city, WI",74,0.0025 
"55","78600","55025","0115.04","2009","WI","Dane WI","Sun Prairie city, WI",100,0.0034 
"55","78600","55025","0115.04","2010","WI","Dane WI","Sun Prairie city, WI",42,0.0014 
"55","78600","55025","0115.04","2011","WI","Dane WI","Sun Prairie city, WI",54,0.0018 
"55","78600","55025","0115.04","2014","WI","Dane WI","Sun Prairie city, WI",17,0.0006 
"55","78600","55025","0115.04","2017","WI","Dane WI","Sun Prairie city, WI",4,0.0001 
"55","78600","55025","0115.04","2020","WI","Dane WI","Sun Prairie city, WI",81,0.0028 
"55","78600","55025","0115.04","2021","WI","Dane WI","Sun Prairie city, WI",31,0.0011 
"55","78600","55025","0115.04","2022","WI","Dane WI","Sun Prairie city, WI",18,0.0006 
"55","78600","55025","0115.04","2023","WI","Dane WI","Sun Prairie city, WI",31,0.0011 
"55","78600","55025","0115.04","2024","WI","Dane WI","Sun Prairie city, WI",51,0.0017 
"55","78600","55025","0115.04","2025","WI","Dane WI","Sun Prairie city, WI",6,0.0002 
"55","78600","55025","0115.04","2026","WI","Dane WI","Sun Prairie city, WI",106,0.0036 
"55","78600","55025","0115.04","2027","WI","Dane WI","Sun Prairie city, WI",108,0.0037 
"55","78600","55025","0115.04","2029","WI","Dane WI","Sun Prairie city, WI",79,0.0027 
"55","78600","55025","0115.04","2030","WI","Dane WI","Sun Prairie city, WI",14,0.0005 
"55","78600","55025","0115.04","2031","WI","Dane WI","Sun Prairie city, WI",38,0.0013 
"55","78600","55025","0115.04","2032","WI","Dane WI","Sun Prairie city, WI",26,0.0009 
"55","78600","55025","0115.04","2033","WI","Dane WI","Sun Prairie city, WI",44,0.0015 
"55","78600","55025","0115.04","2035","WI","Dane WI","Sun Prairie city, WI",39,0.0013 
"55","78600","55025","0115.04","2036","WI","Dane WI","Sun Prairie city, WI",114,0.0039 
"55","78600","55025","0115.04","2037","WI","Dane WI","Sun Prairie city, WI",49,0.0017 
"55","78600","55025","0115.04","2038","WI","Dane WI","Sun Prairie city, WI",118,0.004 
"55","78600","55025","0115.04","2039","WI","Dane WI","Sun Prairie city, WI",280,0.0095 
"55","78600","55025","0115.04","2046","WI","Dane WI","Sun Prairie city, WI",43,0.0015 
"55","78600","55025","0115.04","2055","WI","Dane WI","Sun Prairie city, WI",8,0.0003 
"55","78600","55025","0115.05","1001","WI","Dane WI","Sun Prairie city, WI",158,0.0054 
"55","78600","55025","0115.05","1002","WI","Dane WI","Sun Prairie city, WI",37,0.0013 
"55","78600","55025","0115.05","1003","WI","Dane WI","Sun Prairie city, WI",30,0.001 
"55","78600","55025","0115.05","1004","WI","Dane WI","Sun Prairie city, WI",33,0.0011 
"55","78600","55025","0115.05","1005","WI","Dane WI","Sun Prairie city, WI",37,0.0013 
"55","78600","55025","0115.05","1006","WI","Dane WI","Sun Prairie city, WI",80,0.0027 
"55","78600","55025","0115.05","1007","WI","Dane WI","Sun Prairie city, WI",110,0.0037 
"55","78600","55025","0115.05","1008","WI","Dane WI","Sun Prairie city, WI",53,0.0018 
